chip_id,month
0003d2eb,0
0003d2eb,1
0003d2eb,2
0003d2eb,3
0003d2eb,4
0003d2eb,5
0003d2eb,6
0003d2eb,7
0003d2eb,8
0003d2eb,9
0003d2eb,10
0003d2eb,11
000aa810,0
000aa810,1
000aa810,2
000aa810,3
000aa810,4
000aa810,5
000aa810,6
000aa810,7
000aa810,8
000aa810,9
000aa810,10
000aa810,11
000d7e33,0
000d7e33,1
000d7e33,2
000d7e33,3
000d7e33,4
000d7e33,5
000d7e33,6
000d7e33,7
000d7e33,8
000d7e33,9
000d7e33,10
000d7e33,11
00184691,0
00184691,1
00184691,2
00184691,3
00184691,4
00184691,5
00184691,6
00184691,7
00184691,8
00184691,9
00184691,10
00184691,11
001b0634,0
001b0634,1
001b0634,2
001b0634,3
001b0634,4
001b0634,5
001b0634,6
001b0634,7
001b0634,8
001b0634,9
001b0634,10
001b0634,11
001eb75a,0
001eb75a,1
001eb75a,2
001eb75a,3
001eb75a,4
001eb75a,5
001eb75a,6
001eb75a,7
001eb75a,8
001eb75a,9
001eb75a,10
001eb75a,11
0029317e,0
0029317e,1
0029317e,2
0029317e,3
0029317e,4
0029317e,5
0029317e,6
0029317e,7
0029317e,8
0029317e,9
0029317e,10
0029317e,11
002fb84c,0
002fb84c,1
002fb84c,2
002fb84c,3
002fb84c,4
002fb84c,5
002fb84c,6
002fb84c,7
002fb84c,8
002fb84c,9
002fb84c,10
002fb84c,11
00301627,0
00301627,1
00301627,2
00301627,3
00301627,4
00301627,5
00301627,6
00301627,7
00301627,8
00301627,9
00301627,10
00301627,11
003a2b5b,0
003a2b5b,1
003a2b5b,2
003a2b5b,3
003a2b5b,4
003a2b5b,5
003a2b5b,6
003a2b5b,7
003a2b5b,8
003a2b5b,9
003a2b5b,10
003a2b5b,11
003ab939,0
003ab939,1
003ab939,2
003ab939,3
003ab939,4
003ab939,5
003ab939,6
003ab939,7
003ab939,8
003ab939,9
003ab939,10
003ab939,11
0040c3a8,0
0040c3a8,1
0040c3a8,2
0040c3a8,3
0040c3a8,4
0040c3a8,5
0040c3a8,6
0040c3a8,7
0040c3a8,8
0040c3a8,9
0040c3a8,10
0040c3a8,11
004ef4ec,0
004ef4ec,1
004ef4ec,2
004ef4ec,3
004ef4ec,4
004ef4ec,5
004ef4ec,6
004ef4ec,7
004ef4ec,8
004ef4ec,9
004ef4ec,10
004ef4ec,11
0058fedc,0
0058fedc,1
0058fedc,2
0058fedc,3
0058fedc,4
0058fedc,5
0058fedc,6
0058fedc,7
0058fedc,8
0058fedc,9
0058fedc,10
0058fedc,11
0060c0a5,0
0060c0a5,1
0060c0a5,2
0060c0a5,3
0060c0a5,4
0060c0a5,5
0060c0a5,6
0060c0a5,7
0060c0a5,8
0060c0a5,9
0060c0a5,10
0060c0a5,11
00635116,0
00635116,1
00635116,2
00635116,3
00635116,4
00635116,5
00635116,6
00635116,7
00635116,8
00635116,9
00635116,10
00635116,11
0080ae28,0
0080ae28,1
0080ae28,2
0080ae28,3
0080ae28,4
0080ae28,5
0080ae28,6
0080ae28,7
0080ae28,8
0080ae28,9
0080ae28,10
0080ae28,11
0083efdf,0
0083efdf,1
0083efdf,2
0083efdf,3
0083efdf,4
0083efdf,5
0083efdf,6
0083efdf,7
0083efdf,8
0083efdf,9
0083efdf,10
0083efdf,11
008a52a9,0
008a52a9,1
008a52a9,2
008a52a9,3
008a52a9,4
008a52a9,5
008a52a9,6
008a52a9,7
008a52a9,8
008a52a9,9
008a52a9,10
008a52a9,11
008be628,0
008be628,1
008be628,2
008be628,3
008be628,4
008be628,5
008be628,6
008be628,7
008be628,8
008be628,9
008be628,10
008be628,11
008d48bf,0
008d48bf,1
008d48bf,2
008d48bf,3
008d48bf,4
008d48bf,5
008d48bf,6
008d48bf,7
008d48bf,8
008d48bf,9
008d48bf,10
008d48bf,11
009957ba,0
009957ba,1
009957ba,2
009957ba,3
009957ba,4
009957ba,5
009957ba,6
009957ba,7
009957ba,8
009957ba,9
009957ba,10
009957ba,11
0099b501,0
0099b501,1
0099b501,2
0099b501,3
0099b501,4
0099b501,5
0099b501,6
0099b501,7
0099b501,8
0099b501,9
0099b501,10
0099b501,11
00a0d9d4,0
00a0d9d4,1
00a0d9d4,2
00a0d9d4,3
00a0d9d4,4
00a0d9d4,5
00a0d9d4,6
00a0d9d4,7
00a0d9d4,8
00a0d9d4,9
00a0d9d4,10
00a0d9d4,11
00a0fcf3,0
00a0fcf3,1
00a0fcf3,2
00a0fcf3,3
00a0fcf3,4
00a0fcf3,5
00a0fcf3,6
00a0fcf3,7
00a0fcf3,8
00a0fcf3,9
00a0fcf3,10
00a0fcf3,11
00b7c361,0
00b7c361,1
00b7c361,2
00b7c361,3
00b7c361,4
00b7c361,5
00b7c361,6
00b7c361,7
00b7c361,8
00b7c361,9
00b7c361,10
00b7c361,11
00c03fbe,0
00c03fbe,1
00c03fbe,2
00c03fbe,3
00c03fbe,4
00c03fbe,5
00c03fbe,6
00c03fbe,7
00c03fbe,8
00c03fbe,9
00c03fbe,10
00c03fbe,11
00cb4c3e,0
00cb4c3e,1
00cb4c3e,2
00cb4c3e,3
00cb4c3e,4
00cb4c3e,5
00cb4c3e,6
00cb4c3e,7
00cb4c3e,8
00cb4c3e,9
00cb4c3e,10
00cb4c3e,11
00d97746,0
00d97746,1
00d97746,2
00d97746,3
00d97746,4
00d97746,5
00d97746,6
00d97746,7
00d97746,8
00d97746,9
00d97746,10
00d97746,11
00da2ec1,0
00da2ec1,1
00da2ec1,2
00da2ec1,3
00da2ec1,4
00da2ec1,5
00da2ec1,6
00da2ec1,7
00da2ec1,8
00da2ec1,9
00da2ec1,10
00da2ec1,11
00de40a4,0
00de40a4,1
00de40a4,2
00de40a4,3
00de40a4,4
00de40a4,5
00de40a4,6
00de40a4,7
00de40a4,8
00de40a4,9
00de40a4,10
00de40a4,11
00e1d23f,0
00e1d23f,1
00e1d23f,2
00e1d23f,3
00e1d23f,4
00e1d23f,5
00e1d23f,6
00e1d23f,7
00e1d23f,8
00e1d23f,9
00e1d23f,10
00e1d23f,11
00e6b793,0
00e6b793,1
00e6b793,2
00e6b793,3
00e6b793,4
00e6b793,5
00e6b793,6
00e6b793,7
00e6b793,8
00e6b793,9
00e6b793,10
00e6b793,11
00edfd51,0
00edfd51,1
00edfd51,2
00edfd51,3
00edfd51,4
00edfd51,5
00edfd51,6
00edfd51,7
00edfd51,8
00edfd51,9
00edfd51,10
00edfd51,11
00eee261,0
00eee261,1
00eee261,2
00eee261,3
00eee261,4
00eee261,5
00eee261,6
00eee261,7
00eee261,8
00eee261,9
00eee261,10
00eee261,11
00efbedd,0
00efbedd,1
00efbedd,2
00efbedd,3
00efbedd,4
00efbedd,5
00efbedd,6
00efbedd,7
00efbedd,8
00efbedd,9
00efbedd,10
00efbedd,11
00f898a5,0
00f898a5,1
00f898a5,2
00f898a5,3
00f898a5,4
00f898a5,5
00f898a5,6
00f898a5,7
00f898a5,8
00f898a5,9
00f898a5,10
00f898a5,11
00fc19b1,0
00fc19b1,1
00fc19b1,2
00fc19b1,3
00fc19b1,4
00fc19b1,5
00fc19b1,6
00fc19b1,7
00fc19b1,8
00fc19b1,9
00fc19b1,10
00fc19b1,11
00fd0698,0
00fd0698,1
00fd0698,2
00fd0698,3
00fd0698,4
00fd0698,5
00fd0698,6
00fd0698,7
00fd0698,8
00fd0698,9
00fd0698,10
00fd0698,11
00ff36dd,0
00ff36dd,1
00ff36dd,2
00ff36dd,3
00ff36dd,4
00ff36dd,5
00ff36dd,6
00ff36dd,7
00ff36dd,8
00ff36dd,9
00ff36dd,10
00ff36dd,11
010966cb,0
010966cb,1
010966cb,2
010966cb,3
010966cb,4
010966cb,5
010966cb,6
010966cb,7
010966cb,8
010966cb,9
010966cb,10
010966cb,11
011909e9,0
011909e9,1
011909e9,2
011909e9,3
011909e9,4
011909e9,5
011909e9,6
011909e9,7
011909e9,8
011909e9,9
011909e9,10
011909e9,11
011bc55a,0
011bc55a,1
011bc55a,2
011bc55a,3
011bc55a,4
011bc55a,5
011bc55a,6
011bc55a,7
011bc55a,8
011bc55a,9
011bc55a,10
011bc55a,11
0131497d,0
0131497d,1
0131497d,2
0131497d,3
0131497d,4
0131497d,5
0131497d,6
0131497d,7
0131497d,8
0131497d,9
0131497d,10
0131497d,11
0140e251,0
