,chipid,month,score
0,0003d2eb,1,0.957
1,000aa810,9,0.998
2,000d7e33,8,0.911
3,00184691,6,0.907
4,001b0634,8,0.993
5,001eb75a,8,0.973
6,0029317e,5,0.98
7,002fb84c,11,0.907
8,00301627,6,0.988
9,003a2b5b,5,0.983
10,003ab939,6,0.968
11,0040c3a8,6,0.9299999999999999
12,004ef4ec,2,0.968
13,0058fedc,7,0.943
14,0060c0a5,3,0.961
15,00635116,4,0.989
16,0080ae28,11,0.772
17,0083efdf,2,0.982
18,008a52a9,4,0.95
19,008be628,11,0.842
20,008d48bf,6,0.987
21,009957ba,9,1.0
22,0099b501,11,0.851
23,00a0d9d4,7,0.933
24,00a0fcf3,5,0.904
25,00b7c361,11,0.9
26,00c03fbe,8,1.0
27,00cb4c3e,8,0.594
28,00d97746,7,0.8240000000000001
29,00da2ec1,5,0.868
30,00de40a4,5,0.922
31,00e1d23f,7,0.841
32,00e6b793,1,0.922
33,00edfd51,0,0.983
34,00eee261,9,0.926
35,00efbedd,8,1.0
36,00f898a5,5,0.972
37,00fc19b1,0,0.949
38,00fd0698,5,0.908
39,00ff36dd,8,0.999
40,010966cb,5,0.963
41,011909e9,4,0.973
42,011bc55a,5,0.969
43,0131497d,11,0.907
44,0140e251,7,0.777
45,01417893,7,0.837
46,0147ad59,5,0.906
47,014e57fe,5,0.943
48,01503e8a,5,0.971
49,01567168,6,0.859
50,0157cf88,4,0.972
51,01583b0f,2,0.89
52,0177cc36,4,0.95
53,017f206b,3,0.899
54,01829c8b,11,0.785
55,018df98c,5,0.965
56,0193cab1,4,0.999
57,01a92708,0,0.923
58,01ac99fb,6,0.8049999999999999
59,01b0ad1c,2,0.787
60,01b7f786,0,0.933
61,01bc24f4,5,0.948
62,01ccc4cf,5,0.993
63,01ce06f5,6,0.975
64,01e1a71e,5,0.954
65,01ea0701,5,0.998
66,01edae7b,0,0.902
67,01f1fef8,5,0.948
68,01f32968,0,1.0
69,01f7f810,6,0.838
70,01fb0167,7,0.923
71,01fec683,7,0.873
72,020aefcc,6,0.966
73,020c0e93,7,1.0
74,0215bd3a,11,0.789
75,02168744,9,0.998
76,021a5ed3,6,0.961
77,0226c804,5,0.981
78,0226fb18,1,0.9359999999999999
79,022b4d29,0,0.999
80,02374617,8,0.999
81,023bff29,4,0.947
82,023f5e10,2,0.9359999999999999
83,02400329,6,0.846
84,02546e15,7,0.91
85,025b36b1,4,0.995
86,02613007,11,0.858
87,026f95cb,5,0.888
88,02763d7a,3,0.992
89,027a4ff4,10,0.742
90,027d9c04,4,0.97
91,0287b450,3,0.863
92,0291ee27,7,0.903
93,02a1dc68,4,0.99
94,02a603ee,8,0.911
95,02a7f72f,1,0.8240000000000001
96,02b4ce68,7,0.842
97,02c460be,3,0.792
98,02ceef52,4,0.984
99,02d8f406,7,0.944
100,02de88e0,7,1.0
101,02ea400e,5,0.986
102,02f46de1,7,0.9410000000000001
103,02f855f0,6,0.977
104,02f894cc,5,0.955
105,02fd1e52,2,0.924
106,0300235a,6,0.987
107,030da7d1,6,0.9410000000000001
108,031fd0f5,3,0.85
109,03224a52,4,0.957
110,032a9786,5,0.978
111,0331bda3,4,0.959
112,0332ebf4,10,0.677
113,03419529,2,0.767
114,034c753f,5,0.971
115,034d0cd4,5,0.9299999999999999
116,035858c2,5,1.0
117,03660cb2,5,0.965
118,03696b34,2,0.858
119,036d94c9,2,0.737
